original_smiles,standardized_smiles,status,reason,changed,fragment_changed,charge_changed,tautomer_changed
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,ok,,False,False,False,False
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,ok,,False,False,False,False
O=C(O)c1ccc(Cl)c(Cl)c1,O=C(O)c1ccc(Cl)c(Cl)c1,ok,,False,False,False,False
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,ok,,False,False,False,False
CCOCC,CCOCC,ok,,False,False,False,False
COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,ok,,False,False,False,False
ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ok,,False,False,False,False
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ok,,False,False,False,False
O=C(O)C(Cl)(Cl)Cl,O=C(O)C(Cl)(Cl)Cl,ok,,False,False,False,False
O=C(O)C(O)(c1ccccc1)c1ccccc1,O=C(O)C(O)(c1ccccc1)c1ccccc1,ok,,False,False,False,False
CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,ok,,False,False,False,False
CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1,ok,,False,False,False,False
BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,ok,,False,False,False,False
C=C1C2CCC(C2)C1(C)C,C=C1C2CCC(C2)C1(C)C,ok,,False,False,False,False
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,ok,,True,False,False,True
CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,ok,,False,False,False,False
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,Cc1c(Br)c(Br)c(Br)c(Br)c1Br,ok,,False,False,False,False
Oc1c(Cl)cc(Cl)cc1Cl,Oc1c(Cl)cc(Cl)cc1Cl,ok,,False,False,False,False
Cc1ccc(N)c(S(=O)(=O)O)c1,Cc1ccc(N)c(S(=O)(=O)O)c1,ok,,False,False,False,False
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,ok,,False,False,False,False
c1ccc2c(c1)Nc1ccccc1S2,c1ccc2c(c1)Nc1ccccc1S2,ok,,False,False,False,False
Cc1ccccc1Cl,Cc1ccccc1Cl,ok,,False,False,False,False
Cc1ccc(C)c(C)c1,Cc1ccc(C)c(C)c1,ok,,False,False,False,False
Nc1ccc(Cl)c(Cl)c1,Nc1ccc(Cl)c(Cl)c1,ok,,False,False,False,False
ClCC(Cl)CCl,ClCC(Cl)CCl,ok,,False,False,False,False
CC/C(C)=N/O,CCC(C)=NO,ok,,True,False,False,True
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,ok,,False,False,False,False
FC(F)(F)c1cccc(Cl)c1,FC(F)(F)c1cccc(Cl)c1,ok,,False,False,False,False
CC(N)c1ccccc1,CC(N)c1ccccc1,ok,,False,False,False,False
Nc1cccc([N+](=O)[O-])c1,Nc1cccc([N+](=O)[O-])c1,ok,,False,False,False,False
O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,ok,,False,False,False,False
N=C(Nc1ccccc1)Nc1ccccc1,N=C(Nc1ccccc1)Nc1ccccc1,ok,,False,False,False,False
Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1,ok,,False,False,False,False
Brc1ccccc1,Brc1ccccc1,ok,,False,False,False,False
CCCCCl,CCCCCl,ok,,False,False,False,False
C1CNCCN1,C1CNCCN1,ok,,False,False,False,False
CC(O)COCC(C)O,CC(O)COCC(C)O,ok,,False,False,False,False
NCCNCCN,NCCNCCN,ok,,False,False,False,False
ClCCOCCCl,ClCCOCCCl,ok,,False,False,False,False
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,ok,,False,False,False,False
O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,ok,,False,False,False,False
CC1OC(C)OC(C)O1,CC1OC(C)OC(C)O1,ok,,False,False,False,False
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,ok,,False,False,False,False
CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC,ok,,False,False,False,False
O=C1c2ccccc2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2c(O)cccc21,ok,,False,False,False,False
CN(C)C(=S)SSC(=S)N(C)C,CN(C)C(=S)SSC(=S)N(C)C,ok,,False,False,False,False
CCOP(=S)(OCC)SCCSCC,CCOP(=S)(OCC)SCCSCC,ok,,False,False,False,False
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,ok,,False,False,False,False
CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,ok,,True,False,False,True
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,ok,,False,False,False,False
Cc1ccc(C)c(C)c1C,Cc1ccc(C)c(C)c1C,ok,,False,False,False,False
CC1CCCC(C)N1,CC1CCCC(C)N1,ok,,False,False,False,False
Nc1ccccn1,Nc1ccccn1,ok,,False,False,False,False
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ok,,False,False,False,False
O=C(O)C(Br)C(Br)C(=O)O,O=C(O)C(Br)C(Br)C(=O)O,ok,,False,False,False,False
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,ok,,False,False,False,False
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,ok,,False,False,False,False
Oc1cc(Cl)cc(Cl)c1,Oc1cc(Cl)cc(Cl)c1,ok,,False,False,False,False
CNc1ccccc1C,CNc1ccccc1C,ok,,False,False,False,False
CCc1ccccc1[N+](=O)[O-],CCc1ccccc1[N+](=O)[O-],ok,,False,False,False,False
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,ok,,False,False,False,False
OC1=NCCCCCCCCCCC1,O=C1CCCCCCCCCCCN1,ok,,True,False,False,True
OCc1ccc(Cl)c(Cl)c1,OCc1ccc(Cl)c(Cl)c1,ok,,False,False,False,False
CCCCCCCCc1ccc(O)cc1,CCCCCCCCc1ccc(O)cc1,ok,,False,False,False,False
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,ok,,False,False,False,False
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,ok,,False,False,False,False
CCC(C)c1ccccc1OC(O)=NC,CCC(C)c1ccccc1OC(=O)NC,ok,,True,False,False,True
COP1(=S)OCc2ccccc2O1,COP1(=S)OCc2ccccc2O1,ok,,False,False,False,False
Cc1ccc([N+](=O)[O-])cc1O,Cc1ccc([N+](=O)[O-])cc1O,ok,,False,False,False,False
CC(=O)C(/N=N/c1ccc(-c2ccc(/N=N/C(C(C)=O)C(O)=Nc3ccccc3)c(Cl)c2)cc1Cl)C(O)=Nc1ccccc1,CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,ok,,True,False,False,True
Cc1ccc(S(=O)(=O)Oc2ccc(/N=N/c3ccc(-c4ccc(/N=N/c5c(O)ccc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c56)c(C)c4)cc3C)cc2)cc1,Cc1ccc(S(=O)(=O)Oc2ccc(/N=N/c3ccc(-c4ccc(N=Nc5c(O)ccc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c56)c(C)c4)cc3C)cc2)cc1,ok,,True,False,False,True
O=C1c2ccccc2C(=O)C1c1nc2ccccc2c(Br)c1O,O=C1c2ccccc2C(=O)C1c1nc2ccccc2c(Br)c1O,ok,,False,False,False,False
C=C(CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,CC(=CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,ok,,True,False,False,True
CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,ok,,False,False,False,False
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,ok,,False,False,False,False
Clc1cc2c(cc1Cl)Oc1ccccc1O2,Clc1cc2c(cc1Cl)Oc1ccccc1O2,ok,,False,False,False,False
ClCCOC(c1ccccc1)c1ccccc1,ClCCOC(c1ccccc1)c1ccccc1,ok,,False,False,False,False
N#CCCN(CCOC(=O)c1ccccc1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,N#CCCN(CCOC(=O)c1ccccc1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,ok,,False,False,False,False
CC1CCC(C(=O)O)C(C(=O)O)C1,CC1CCC(C(=O)O)C(C(=O)O)C1,ok,,False,False,False,False
Cc1cc(O)no1,Cc1cc(=O)[nH]o1,ok,,True,False,False,True
CC(C)OC(O)=Nc1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1,ok,,True,False,False,True
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,ok,,False,False,False,False
CCCCN(CC)C(=O)SCCC,CCCCN(CC)C(=O)SCCC,ok,,False,False,False,False
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,ok,,False,False,False,False
CN=C(O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1OC(C)C,ok,,True,False,False,True
CN=C(O)O/N=C/C(C)(C)SC,CNC(=O)O/N=C/C(C)(C)SC,ok,,True,False,False,True
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1,ok,,False,False,False,False
O=C(S)c1cccc2nnsc12,O=C(S)c1cccc2nnsc12,ok,,False,False,False,False
CC1(C(O)=Nc2ccc(O)c(Cl)c2Cl)CCCCC1,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,ok,,True,False,False,True
O=C1C(Br)=CC(=CNOc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C=C1Br,O=[N+]([O-])c1ccc(ON=Cc2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,ok,,True,False,False,True
CCCSP(=O)(OCC)SCCC,CCCSP(=O)(OCC)SCCC,ok,,False,False,False,False
Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,ok,,False,False,False,False
CCOC(O)=Nc1cccc(OC(O)=Nc2ccccc2)c1,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,ok,,True,False,False,True
COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,ok,,True,False,False,True
OC(=Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,ok,,True,False,False,True
CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,ok,,False,False,False,False
CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,ok,,False,False,False,False
c1ccc2[nH]c(-c3cscn3)nc2c1,c1ccc2[nH]c(-c3cscn3)nc2c1,ok,,False,False,False,False
Nc1cnn(-c2ccccc2)c(=O)c1Cl,Nc1cnn(-c2ccccc2)c(=O)c1Cl,ok,,False,False,False,False
CON(C)C(=O)Nc1ccc(Cl)cc1,CON(C)C(=O)Nc1ccc(Cl)cc1,ok,,False,False,False,False
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,ok,,False,False,False,False
CN=C(O)N(C)c1nc2ccccc2s1,CNC(=O)N(C)c1nc2ccccc2s1,ok,,True,False,False,True
CC(C)N(C(=O)CCl)c1ccccc1,CC(C)N(C(=O)CCl)c1ccccc1,ok,,False,False,False,False
CCCSC(=O)N(CCC)CCC,CCCSC(=O)N(CCC)CCC,ok,,False,False,False,False
COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,ok,,False,False,False,False
COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,ok,,False,False,False,False
C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,ok,,True,False,False,True
COP(=S)(OC)SCC(=O)N(C)C=O,COP(=S)(OC)SCC(=O)N(C)C=O,ok,,False,False,False,False
CCCOC(O)=NCCCN(C)C,CCCOC(=O)NCCCN(C)C,ok,,True,False,False,True
