original_smiles,standardized_smiles,status,reason,changed,fragment_changed,charge_changed,tautomer_changed
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ok,,False,False,False,False
C=COCC(CC)CCCC,C=COCC(CC)CCCC,ok,,False,False,False,False
C=CCCCCCCCCCC,C=CCCCCCCCCCC,ok,,False,False,False,False
C/C(=C/C(C)(C)C)CC(C)(C)C,C/C(=C/C(C)(C)C)CC(C)(C)C,ok,,False,False,False,False
c1ccc2c(c1)sc1ccccc12,c1ccc2c(c1)sc1ccccc12,ok,,False,False,False,False
C1CCCCCCCCCCC1,C1CCCCCCCCCCC1,ok,,False,False,False,False
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ok,,False,False,False,False
Clc1ccc(Cl)c2ccccc12,Clc1ccc(Cl)c2ccccc12,ok,,False,False,False,False
ClC1=C(Cl)C2(Cl)C=CC1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C=CC1(Cl)C2(Cl)Cl,ok,,False,False,False,False
Oc1c(C2CCCCC2)cccc1C1CCCCC1,Oc1c(C2CCCCC2)cccc1C1CCCCC1,ok,,False,False,False,False
C1=C\CC/C=C\CC/C=C\CC/1,C1=C\CC/C=C\CC/C=C\CC/1,ok,,False,False,False,False
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,ok,,False,False,False,False
CCCCCCC(CC)CC,CCCCCCC(CC)CC,ok,,False,False,False,False
Clc1c(Cl)c(Cl)c2ccccc2c1Cl,Clc1c(Cl)c(Cl)c2ccccc2c1Cl,ok,,False,False,False,False
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,ok,,False,False,False,False
CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,ok,,False,False,False,False
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,ok,,False,False,False,False
Clc1ccc2c(c1)oc1c(Cl)cccc12,Clc1ccc2c(c1)oc1c(Cl)cccc12,ok,,False,False,False,False
CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)C)c1,ok,,False,False,False,False
O=C(N=C(O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,ok,,True,False,False,True
O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,ok,,False,False,False,False
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,ok,,False,False,False,False
C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],ok,,False,False,False,False
Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,ok,,False,False,False,False
CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,ok,,False,False,False,False
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,ok,,False,False,False,False
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,ok,,False,False,False,False
FC(F)(F)/N=C1\S/C(=N\c2ccccc2)N(c2ccccc2)\C1=N/C(F)(F)F,FC(F)(F)/N=C1\S/C(=N\c2ccccc2)N(c2ccccc2)\C1=N/C(F)(F)F,ok,,False,False,False,False
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],ok,,False,False,False,False
Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1,Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1,ok,,False,False,False,False
Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,ok,,False,False,False,False
C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(O)=NC1CCCCC1,C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,ok,,True,False,False,True
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,ok,,False,False,False,False
c1ccc(Nc2cccc3ccccc23)cc1,c1ccc(Nc2cccc3ccccc23)cc1,ok,,False,False,False,False
c1ccc2c(c1)oc1ccccc12,c1ccc2c(c1)oc1ccccc12,ok,,False,False,False,False
