original_smiles,standardized_smiles,status,reason,changed,fragment_changed,charge_changed,tautomer_changed
O=C(O)c1c(Cl)cccc1Cl,O=C(O)c1c(Cl)cccc1Cl,ok,,False,False,False,False
ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,ok,,False,False,False,False
c1ccc2cc3c(ccc4ccccc43)cc2c1,c1ccc2cc3c(ccc4ccccc43)cc2c1,ok,,False,False,False,False
Cc1cc(O)ccc1Cl,Cc1cc(O)ccc1Cl,ok,,False,False,False,False
CN=C(O)CSP(=S)(OC)OC,CNC(=O)CSP(=S)(OC)OC,ok,,True,False,False,True
Nc1ccccc1,Nc1ccccc1,ok,,False,False,False,False
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)N=C(O)C2)C(=O)[C@@H](C)C1,CC1C[C@H](C)CC([C@H](O)CC2CC(=O)NC(=O)C2)C1=O,ok,,True,False,False,True
CC(Cl)(Cl)Cl,CC(Cl)(Cl)Cl,ok,,False,False,False,False
BrC(Br)Br,BrC(Br)Br,ok,,False,False,False,False
ClC=C(Cl)Cl,ClC=C(Cl)Cl,ok,,False,False,False,False
ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl,ok,,False,False,False,False
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,ok,,False,False,False,False
Nc1ccc2ccccc2c1S(=O)(=O)O,Nc1ccc2ccccc2c1S(=O)(=O)O,ok,,False,False,False,False
O=C1c2ccccc2-c2cccc3cccc1c23,O=C1c2ccccc2-c2cccc3cccc1c23,ok,,False,False,False,False
O=C1c2ccccc2C(=O)c2c(Cl)cccc21,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,ok,,False,False,False,False
CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1,Cc1cc(=O)n(-c2cc(Cl)c(S(=O)(=O)O)cc2Cl)[nH]1,ok,,True,False,False,True
Cc1ccccc1/N=N/c1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,ok,,True,False,False,True
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,ok,,False,False,False,False
Clc1cccc(Cl)c1Cl,Clc1cccc(Cl)c1Cl,ok,,False,False,False,False
Cc1ccccc1S(N)(=O)=O,Cc1ccccc1S(N)(=O)=O,ok,,False,False,False,False
O=[N+]([O-])c1ccccc1Cl,O=[N+]([O-])c1ccccc1Cl,ok,,False,False,False,False
Nc1ccccc1[N+](=O)[O-],Nc1ccccc1[N+](=O)[O-],ok,,False,False,False,False
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,ok,,False,False,False,False
Cc1ccccc1CN,Cc1ccccc1CN,ok,,False,False,False,False
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,ok,,False,False,False,False
Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,ok,,False,False,False,False
