original_smiles,standardized_smiles,status,reason,changed,fragment_changed,charge_changed,tautomer_changed
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,ok,,False,False,False,False
Clc1ccc2ccccc2c1,Clc1ccc2ccccc2c1,ok,,False,False,False,False
CCCCCCCCC,CCCCCCCCC,ok,,False,False,False,False
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,ok,,False,False,False,False
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,ok,,False,False,False,False
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,ok,,False,False,False,False
c1ccc2c(c1)-c1cccc3cccc-2c13,c1ccc2c(c1)-c1cccc3cccc-2c13,ok,,False,False,False,False
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ok,,False,False,False,False
Cc1ccc2c(c1)CCCC2(C)C,Cc1ccc2c(c1)CCCC2(C)C,ok,,False,False,False,False
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,ok,,False,False,False,False
Cc1cc(C)c2ccccc2c1,Cc1cc(C)c2ccccc2c1,ok,,False,False,False,False
Brc1cc(Br)cc(Br)c1,Brc1cc(Br)cc(Br)c1,ok,,False,False,False,False
Brc1cc(Br)c(Br)cc1Br,Brc1cc(Br)c(Br)cc1Br,ok,,False,False,False,False
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,ok,,False,False,False,False
Clc1ccccc1NNc1ccccc1Cl,Clc1ccccc1NNc1ccccc1Cl,ok,,False,False,False,False
Cc1ccc2cc(C)c(C)cc2c1,Cc1ccc2cc(C)c(C)cc2c1,ok,,False,False,False,False
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,ok,,False,False,False,False
CC(C)CC1CCCCC1,CC(C)CC1CCCCC1,ok,,False,False,False,False
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,ok,,False,False,False,False
CC(C)(C)c1cc(-c2ccccc2)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(-c2ccccc2)cc(C(C)(C)C)c1O,ok,,False,False,False,False
CCCCC(C)C(C)C,CCCCC(C)C(C)C,ok,,False,False,False,False
CC1CCC(C)c2ccccc21,CC1CCC(C)c2ccccc21,ok,,False,False,False,False
CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,ok,,False,False,False,False
Clc1ccccc1-c1ccccc1Cl,Clc1ccccc1-c1ccccc1Cl,ok,,False,False,False,False
ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,ok,,False,False,False,False
Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,ok,,False,False,False,False
Clc1cc(Cl)cc(-c2ccccc2)c1,Clc1cc(Cl)cc(-c2ccccc2)c1,ok,,False,False,False,False
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,ok,,False,False,False,False
CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,ok,,False,False,False,False
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,ok,,False,False,False,False
Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1,Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1,ok,,False,False,False,False
Clc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,Clc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,ok,,False,False,False,False
Cc1ccc2nc3sc(=O)sc3nc2c1,Cc1ccc2nc3sc(=O)sc3nc2c1,ok,,False,False,False,False
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ok,,False,False,False,False
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,ok,,True,False,False,True
CCCCCCCCCCCCO,CCCCCCCCCCCCO,ok,,False,False,False,False
OC(=Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,ok,,True,False,False,True
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,ok,,False,False,False,False
CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,ok,,False,False,False,False
