Name,source,original_index,SMILES,status
positive:0,positive,0,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,kept
positive:1,positive,1,C=COCC(CC)CCCC,kept
positive:2,positive,2,C=CCCCCCCCCCC,kept
positive:3,positive,3,C/C(=C/C(C)(C)C)CC(C)(C)C,kept
positive:4,positive,4,c1ccc2c(c1)sc1ccccc12,kept
positive:5,positive,5,C1CCCCCCCCCCC1,kept
positive:6,positive,6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,kept
positive:7,positive,7,Clc1ccc(Cl)c2ccccc12,kept
positive:8,positive,8,ClC1=C(Cl)C2(Cl)C=CC1(Cl)C2(Cl)Cl,kept
positive:9,positive,9,Oc1c(C2CCCCC2)cccc1C1CCCCC1,kept
positive:10,positive,10,C1=C\CC/C=C\CC/C=C\CC/1,kept
positive:11,positive,11,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,kept
positive:12,positive,12,CCCCCCC(CC)CC,kept
positive:13,positive,13,Clc1c(Cl)c(Cl)c2ccccc2c1Cl,kept
positive:14,positive,14,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,kept
positive:15,positive,15,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,kept
positive:16,positive,16,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,kept
positive:17,positive,17,Clc1ccc2c(c1)oc1c(Cl)cccc12,kept
positive:18,positive,18,CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)C)c1,kept
positive:19,positive,19,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,kept
positive:20,positive,20,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,kept
positive:21,positive,21,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,kept
positive:22,positive,22,C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],kept
positive:23,positive,23,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,kept
positive:24,positive,24,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,kept
positive:25,positive,25,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,kept
positive:26,positive,26,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,kept
positive:27,positive,27,FC(F)(F)/N=C1\S/C(=N\c2ccccc2)N(c2ccccc2)\C1=N/C(F)(F)F,kept
positive:28,positive,28,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],kept
positive:29,positive,29,Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1,kept
positive:30,positive,30,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,kept
positive:31,positive,31,C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,kept
positive:32,positive,32,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,kept
positive:33,positive,33,c1ccc(Nc2cccc3ccccc23)cc1,kept
positive:34,positive,34,c1ccc2c(c1)oc1ccccc12,kept
positive:35,positive,35,FC(F)(F)c1ccc(Cl)c(Cl)c1,kept
positive:36,positive,36,c1ccc(-c2cccc3ccccc23)cc1,kept
positive:37,positive,37,C=CCCCCCCCC,kept
positive:38,positive,38,CC(C)c1ccc2ccccc2c1,kept
positive:39,positive,39,Clc1ccc(-c2ccc(Cl)cc2)cc1,kept
positive:40,positive,40,CCCCC(C)CCCC(C)C,kept
positive:41,positive,41,CC(CC(C)(C)C)CC(C)(C)C,kept
positive:42,positive,42,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,kept
positive:43,positive,43,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,kept
positive:44,positive,44,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,kept
positive:45,positive,45,Clc1ccc(Cl)c(-c2ccccc2)c1,kept
positive:46,positive,46,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,kept
positive:47,positive,47,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,kept
