row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
0,positive:0,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,130,0,130,ATS0s;ATS1s;ATS2s;ATS3s;ATS4s;ATS5s;ATS6s;ATS7s;AATS0s;AATS1s;AATS2s;AATS3s;AATS4s;AATS5s;AATS6s;AATS7s;ATSC0s;ATSC1s;ATSC2s;ATSC3s;ATSC4s;ATSC5s;ATSC6s;ATSC7s;ATSC8s;AATSC0s;AATSC1s;AATSC2s;AATSC3s;AATSC4s;AATSC5s;AATSC6s;AATSC7s;AATSC8s;SpMax1_Bhm;SpMax2_Bhm;SpMax3_Bhm;SpMax4_Bhm;SpMax5_Bhm;SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin1_Bhm;SpMin2_Bhm;SpMin3_Bhm;SpMin4_Bhm;SpMin5_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax1_Bhv;SpMax2_Bhv;SpMax3_Bhv;SpMax4_Bhv;SpMax5_Bhv;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin1_Bhv;SpMin2_Bhv;SpMin3_Bhv;SpMin4_Bhv;SpMin5_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax1_Bhe;SpMax2_Bhe;SpMax3_Bhe;SpMax4_Bhe;SpMax5_Bhe;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin1_Bhe;SpMin2_Bhe;SpMin3_Bhe;SpMin4_Bhe;SpMin5_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax1_Bhp;SpMax2_Bhp;SpMax3_Bhp;SpMax4_Bhp;SpMax5_Bhp;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin1_Bhp;SpMin2_Bhp;SpMin3_Bhp;SpMin4_Bhp;SpMin5_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax1_Bhi;SpMax2_Bhi;SpMax3_Bhi;SpMax4_Bhi;SpMax5_Bhi;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin1_Bhi;SpMin2_Bhi;SpMin3_Bhi;SpMin4_Bhi;SpMin5_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax1_Bhs;SpMax2_Bhs;SpMax3_Bhs;SpMax4_Bhs;SpMax5_Bhs;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin1_Bhs;SpMin2_Bhs;SpMin3_Bhs;SpMin4_Bhs;SpMin5_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs
20,positive:20,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
68,negative:0,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,96,0,96,SpMax1_Bhm;SpMax2_Bhm;SpMax3_Bhm;SpMax4_Bhm;SpMax5_Bhm;SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin1_Bhm;SpMin2_Bhm;SpMin3_Bhm;SpMin4_Bhm;SpMin5_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax1_Bhv;SpMax2_Bhv;SpMax3_Bhv;SpMax4_Bhv;SpMax5_Bhv;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin1_Bhv;SpMin2_Bhv;SpMin3_Bhv;SpMin4_Bhv;SpMin5_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax1_Bhe;SpMax2_Bhe;SpMax3_Bhe;SpMax4_Bhe;SpMax5_Bhe;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin1_Bhe;SpMin2_Bhe;SpMin3_Bhe;SpMin4_Bhe;SpMin5_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax1_Bhp;SpMax2_Bhp;SpMax3_Bhp;SpMax4_Bhp;SpMax5_Bhp;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin1_Bhp;SpMin2_Bhp;SpMin3_Bhp;SpMin4_Bhp;SpMin5_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax1_Bhi;SpMax2_Bhi;SpMax3_Bhi;SpMax4_Bhi;SpMax5_Bhi;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin1_Bhi;SpMin2_Bhi;SpMin3_Bhi;SpMin4_Bhi;SpMin5_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax1_Bhs;SpMax2_Bhs;SpMax3_Bhs;SpMax4_Bhs;SpMax5_Bhs;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin1_Bhs;SpMin2_Bhs;SpMin3_Bhs;SpMin4_Bhs;SpMin5_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs
128,negative:60,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
147,negative:79,Cc1cc(=O)[nH]o1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
166,negative:98,Nc1cnn(-c2ccccc2)c(=O)c1Cl,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
182,negative:114,O=c1cc(Cl)[nH]nc1-c1ccccc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
187,negative:119,O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
188,negative:120,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
204,negative:136,ClCCl,36,0,36,SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs
