descriptor,n_nan,n_pos_inf,n_neg_inf,n_total_missing_or_inf,n_affected_compounds,affected_fraction
BCUTw-1l,11,0,0,11,11,0.03293413173652695
BCUTw-1h,11,0,0,11,11,0.03293413173652695
BCUTc-1l,11,0,0,11,11,0.03293413173652695
BCUTc-1h,11,0,0,11,11,0.03293413173652695
BCUTp-1l,11,0,0,11,11,0.03293413173652695
BCUTp-1h,11,0,0,11,11,0.03293413173652695
SCH-3,11,0,0,11,11,0.03293413173652695
SCH-4,11,0,0,11,11,0.03293413173652695
SCH-5,11,0,0,11,11,0.03293413173652695
SCH-6,11,0,0,11,11,0.03293413173652695
SCH-7,11,0,0,11,11,0.03293413173652695
VCH-3,11,0,0,11,11,0.03293413173652695
VCH-4,11,0,0,11,11,0.03293413173652695
VCH-5,11,0,0,11,11,0.03293413173652695
VCH-6,11,0,0,11,11,0.03293413173652695
VCH-7,11,0,0,11,11,0.03293413173652695
SC-3,11,0,0,11,11,0.03293413173652695
SC-4,11,0,0,11,11,0.03293413173652695
SC-5,11,0,0,11,11,0.03293413173652695
SC-6,11,0,0,11,11,0.03293413173652695
VC-3,11,0,0,11,11,0.03293413173652695
VC-4,11,0,0,11,11,0.03293413173652695
VC-5,11,0,0,11,11,0.03293413173652695
VC-6,11,0,0,11,11,0.03293413173652695
SPC-4,11,0,0,11,11,0.03293413173652695
SPC-5,11,0,0,11,11,0.03293413173652695
SPC-6,11,0,0,11,11,0.03293413173652695
VPC-4,11,0,0,11,11,0.03293413173652695
VPC-5,11,0,0,11,11,0.03293413173652695
VPC-6,11,0,0,11,11,0.03293413173652695
SP-0,11,0,0,11,11,0.03293413173652695
SP-1,11,0,0,11,11,0.03293413173652695
SP-2,11,0,0,11,11,0.03293413173652695
SP-3,11,0,0,11,11,0.03293413173652695
SP-4,11,0,0,11,11,0.03293413173652695
SP-5,11,0,0,11,11,0.03293413173652695
SP-6,11,0,0,11,11,0.03293413173652695
SP-7,11,0,0,11,11,0.03293413173652695
ASP-0,11,0,0,11,11,0.03293413173652695
ASP-1,11,0,0,11,11,0.03293413173652695
ASP-2,11,0,0,11,11,0.03293413173652695
ASP-3,11,0,0,11,11,0.03293413173652695
ASP-4,11,0,0,11,11,0.03293413173652695
ASP-5,11,0,0,11,11,0.03293413173652695
ASP-6,11,0,0,11,11,0.03293413173652695
ASP-7,11,0,0,11,11,0.03293413173652695
VP-0,11,0,0,11,11,0.03293413173652695
VP-1,11,0,0,11,11,0.03293413173652695
VP-2,11,0,0,11,11,0.03293413173652695
VP-3,11,0,0,11,11,0.03293413173652695
VP-4,11,0,0,11,11,0.03293413173652695
VP-5,11,0,0,11,11,0.03293413173652695
VP-6,11,0,0,11,11,0.03293413173652695
VP-7,11,0,0,11,11,0.03293413173652695
AVP-0,11,0,0,11,11,0.03293413173652695
AVP-1,11,0,0,11,11,0.03293413173652695
AVP-2,11,0,0,11,11,0.03293413173652695
AVP-3,11,0,0,11,11,0.03293413173652695
AVP-4,11,0,0,11,11,0.03293413173652695
AVP-5,11,0,0,11,11,0.03293413173652695
AVP-6,11,0,0,11,11,0.03293413173652695
AVP-7,11,0,0,11,11,0.03293413173652695
VABC,11,0,0,11,11,0.03293413173652695
SpMax6_Bhm,3,0,0,3,3,0.008982035928143712
SpMax7_Bhm,3,0,0,3,3,0.008982035928143712
SpMax8_Bhm,3,0,0,3,3,0.008982035928143712
SpMin6_Bhm,3,0,0,3,3,0.008982035928143712
SpMin7_Bhm,3,0,0,3,3,0.008982035928143712
SpMin8_Bhm,3,0,0,3,3,0.008982035928143712
SpMax6_Bhv,3,0,0,3,3,0.008982035928143712
SpMax7_Bhv,3,0,0,3,3,0.008982035928143712
SpMax8_Bhv,3,0,0,3,3,0.008982035928143712
SpMin6_Bhv,3,0,0,3,3,0.008982035928143712
SpMin7_Bhv,3,0,0,3,3,0.008982035928143712
SpMin8_Bhv,3,0,0,3,3,0.008982035928143712
SpMax6_Bhe,3,0,0,3,3,0.008982035928143712
SpMax7_Bhe,3,0,0,3,3,0.008982035928143712
SpMax8_Bhe,3,0,0,3,3,0.008982035928143712
SpMin6_Bhe,3,0,0,3,3,0.008982035928143712
SpMin7_Bhe,3,0,0,3,3,0.008982035928143712
SpMin8_Bhe,3,0,0,3,3,0.008982035928143712
SpMax6_Bhp,3,0,0,3,3,0.008982035928143712
SpMax7_Bhp,3,0,0,3,3,0.008982035928143712
SpMax8_Bhp,3,0,0,3,3,0.008982035928143712
SpMin6_Bhp,3,0,0,3,3,0.008982035928143712
SpMin7_Bhp,3,0,0,3,3,0.008982035928143712
SpMin8_Bhp,3,0,0,3,3,0.008982035928143712
SpMax6_Bhi,3,0,0,3,3,0.008982035928143712
SpMax7_Bhi,3,0,0,3,3,0.008982035928143712
SpMax8_Bhi,3,0,0,3,3,0.008982035928143712
SpMin6_Bhi,3,0,0,3,3,0.008982035928143712
SpMin7_Bhi,3,0,0,3,3,0.008982035928143712
SpMin8_Bhi,3,0,0,3,3,0.008982035928143712
SpMax6_Bhs,3,0,0,3,3,0.008982035928143712
SpMax7_Bhs,3,0,0,3,3,0.008982035928143712
SpMax8_Bhs,3,0,0,3,3,0.008982035928143712
SpMin6_Bhs,3,0,0,3,3,0.008982035928143712
SpMin7_Bhs,3,0,0,3,3,0.008982035928143712
SpMin8_Bhs,3,0,0,3,3,0.008982035928143712
SpMax1_Bhm,2,0,0,2,2,0.005988023952095809
SpMax2_Bhm,2,0,0,2,2,0.005988023952095809
SpMax3_Bhm,2,0,0,2,2,0.005988023952095809
SpMax4_Bhm,2,0,0,2,2,0.005988023952095809
SpMax5_Bhm,2,0,0,2,2,0.005988023952095809
SpMin1_Bhm,2,0,0,2,2,0.005988023952095809
SpMin2_Bhm,2,0,0,2,2,0.005988023952095809
SpMin3_Bhm,2,0,0,2,2,0.005988023952095809
SpMin4_Bhm,2,0,0,2,2,0.005988023952095809
SpMin5_Bhm,2,0,0,2,2,0.005988023952095809
SpMax1_Bhv,2,0,0,2,2,0.005988023952095809
SpMax2_Bhv,2,0,0,2,2,0.005988023952095809
SpMax3_Bhv,2,0,0,2,2,0.005988023952095809
SpMax4_Bhv,2,0,0,2,2,0.005988023952095809
SpMax5_Bhv,2,0,0,2,2,0.005988023952095809
SpMin1_Bhv,2,0,0,2,2,0.005988023952095809
SpMin2_Bhv,2,0,0,2,2,0.005988023952095809
SpMin3_Bhv,2,0,0,2,2,0.005988023952095809
SpMin4_Bhv,2,0,0,2,2,0.005988023952095809
SpMin5_Bhv,2,0,0,2,2,0.005988023952095809
SpMax1_Bhe,2,0,0,2,2,0.005988023952095809
SpMax2_Bhe,2,0,0,2,2,0.005988023952095809
SpMax3_Bhe,2,0,0,2,2,0.005988023952095809
SpMax4_Bhe,2,0,0,2,2,0.005988023952095809
SpMax5_Bhe,2,0,0,2,2,0.005988023952095809
SpMin1_Bhe,2,0,0,2,2,0.005988023952095809
SpMin2_Bhe,2,0,0,2,2,0.005988023952095809
SpMin3_Bhe,2,0,0,2,2,0.005988023952095809
SpMin4_Bhe,2,0,0,2,2,0.005988023952095809
SpMin5_Bhe,2,0,0,2,2,0.005988023952095809
SpMax1_Bhp,2,0,0,2,2,0.005988023952095809
SpMax2_Bhp,2,0,0,2,2,0.005988023952095809
SpMax3_Bhp,2,0,0,2,2,0.005988023952095809
SpMax4_Bhp,2,0,0,2,2,0.005988023952095809
SpMax5_Bhp,2,0,0,2,2,0.005988023952095809
SpMin1_Bhp,2,0,0,2,2,0.005988023952095809
SpMin2_Bhp,2,0,0,2,2,0.005988023952095809
SpMin3_Bhp,2,0,0,2,2,0.005988023952095809
SpMin4_Bhp,2,0,0,2,2,0.005988023952095809
SpMin5_Bhp,2,0,0,2,2,0.005988023952095809
SpMax1_Bhi,2,0,0,2,2,0.005988023952095809
SpMax2_Bhi,2,0,0,2,2,0.005988023952095809
SpMax3_Bhi,2,0,0,2,2,0.005988023952095809
SpMax4_Bhi,2,0,0,2,2,0.005988023952095809
SpMax5_Bhi,2,0,0,2,2,0.005988023952095809
SpMin1_Bhi,2,0,0,2,2,0.005988023952095809
SpMin2_Bhi,2,0,0,2,2,0.005988023952095809
SpMin3_Bhi,2,0,0,2,2,0.005988023952095809
SpMin4_Bhi,2,0,0,2,2,0.005988023952095809
SpMin5_Bhi,2,0,0,2,2,0.005988023952095809
SpMax1_Bhs,2,0,0,2,2,0.005988023952095809
SpMax2_Bhs,2,0,0,2,2,0.005988023952095809
SpMax3_Bhs,2,0,0,2,2,0.005988023952095809
SpMax4_Bhs,2,0,0,2,2,0.005988023952095809
SpMax5_Bhs,2,0,0,2,2,0.005988023952095809
SpMin1_Bhs,2,0,0,2,2,0.005988023952095809
SpMin2_Bhs,2,0,0,2,2,0.005988023952095809
SpMin3_Bhs,2,0,0,2,2,0.005988023952095809
SpMin4_Bhs,2,0,0,2,2,0.005988023952095809
SpMin5_Bhs,2,0,0,2,2,0.005988023952095809
ATS0s,1,0,0,1,1,0.0029940119760479044
ATS1s,1,0,0,1,1,0.0029940119760479044
ATS2s,1,0,0,1,1,0.0029940119760479044
ATS3s,1,0,0,1,1,0.0029940119760479044
ATS4s,1,0,0,1,1,0.0029940119760479044
ATS5s,1,0,0,1,1,0.0029940119760479044
ATS6s,1,0,0,1,1,0.0029940119760479044
ATS7s,1,0,0,1,1,0.0029940119760479044
AATS0s,1,0,0,1,1,0.0029940119760479044
AATS1s,1,0,0,1,1,0.0029940119760479044
AATS2s,1,0,0,1,1,0.0029940119760479044
AATS3s,1,0,0,1,1,0.0029940119760479044
AATS4s,1,0,0,1,1,0.0029940119760479044
AATS5s,1,0,0,1,1,0.0029940119760479044
AATS6s,1,0,0,1,1,0.0029940119760479044
AATS7s,1,0,0,1,1,0.0029940119760479044
ATSC0s,1,0,0,1,1,0.0029940119760479044
ATSC1s,1,0,0,1,1,0.0029940119760479044
ATSC2s,1,0,0,1,1,0.0029940119760479044
ATSC3s,1,0,0,1,1,0.0029940119760479044
ATSC4s,1,0,0,1,1,0.0029940119760479044
ATSC5s,1,0,0,1,1,0.0029940119760479044
ATSC6s,1,0,0,1,1,0.0029940119760479044
ATSC7s,1,0,0,1,1,0.0029940119760479044
ATSC8s,1,0,0,1,1,0.0029940119760479044
AATSC0s,1,0,0,1,1,0.0029940119760479044
AATSC1s,1,0,0,1,1,0.0029940119760479044
AATSC2s,1,0,0,1,1,0.0029940119760479044
AATSC3s,1,0,0,1,1,0.0029940119760479044
AATSC4s,1,0,0,1,1,0.0029940119760479044
AATSC5s,1,0,0,1,1,0.0029940119760479044
AATSC6s,1,0,0,1,1,0.0029940119760479044
AATSC7s,1,0,0,1,1,0.0029940119760479044
AATSC8s,1,0,0,1,1,0.0029940119760479044
FMF,1,0,0,1,1,0.0029940119760479044
HybRatio,1,0,0,1,1,0.0029940119760479044
