Name,source,original_index,SMILES,status
positive:0,positive,0,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,kept
positive:1,positive,1,Clc1ccc2ccccc2c1,kept
positive:2,positive,2,CCCCCCCCC,kept
positive:3,positive,3,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,kept
positive:4,positive,4,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,kept
positive:5,positive,5,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,kept
positive:6,positive,6,c1ccc2c(c1)-c1cccc3cccc-2c13,kept
positive:7,positive,7,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,kept
positive:8,positive,8,Cc1ccc2c(c1)CCCC2(C)C,kept
positive:9,positive,9,C1CCC2CCCCC2C1,kept
positive:10,positive,10,Cc1cc(C)c2ccccc2c1,kept
positive:11,positive,11,Brc1cc(Br)cc(Br)c1,kept
positive:12,positive,12,Brc1cc(Br)c(Br)cc1Br,kept
positive:13,positive,13,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,kept
positive:14,positive,14,Clc1ccccc1NNc1ccccc1Cl,kept
positive:15,positive,15,Cc1ccc2cc(C)c(C)cc2c1,kept
positive:16,positive,16,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,kept
positive:17,positive,17,CC(C)CC1CCCCC1,kept
positive:18,positive,18,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,kept
positive:19,positive,19,CC(C)(C)c1cc(-c2ccccc2)cc(C(C)(C)C)c1O,kept
positive:20,positive,20,CCCCC(C)C(C)C,kept
positive:21,positive,21,CC1CCC(C)c2ccccc21,kept
positive:22,positive,22,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,kept
positive:23,positive,23,Clc1ccccc1-c1ccccc1Cl,kept
positive:24,positive,24,ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,kept
positive:25,positive,25,Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,kept
positive:26,positive,26,Clc1cc(Cl)cc(-c2ccccc2)c1,kept
positive:27,positive,27,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,kept
positive:28,positive,28,CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,kept
positive:29,positive,29,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,kept
positive:30,positive,30,Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1,kept
positive:31,positive,31,Clc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,kept
positive:32,positive,32,Cc1ccc2nc3sc(=O)sc3nc2c1,kept
positive:33,positive,33,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,kept
positive:34,positive,34,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,kept
positive:35,positive,35,CCCCCCCCCCCCO,kept
