row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
32,positive:32,Cc1ccc2nc3sc(=O)sc3nc2c1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
53,positive:53,O=c1c(C2CC(c3ccc(-c4ccccc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
105,positive:105,O=c1c(C2CC(c3ccc(OCc4ccc(C(F)(F)F)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
141,negative:0,O=C(O)c1c(Cl)cccc1Cl,96,0,96,SpMax1_Bhm;SpMax2_Bhm;SpMax3_Bhm;SpMax4_Bhm;SpMax5_Bhm;SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin1_Bhm;SpMin2_Bhm;SpMin3_Bhm;SpMin4_Bhm;SpMin5_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax1_Bhv;SpMax2_Bhv;SpMax3_Bhv;SpMax4_Bhv;SpMax5_Bhv;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin1_Bhv;SpMin2_Bhv;SpMin3_Bhv;SpMin4_Bhv;SpMin5_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax1_Bhe;SpMax2_Bhe;SpMax3_Bhe;SpMax4_Bhe;SpMax5_Bhe;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin1_Bhe;SpMin2_Bhe;SpMin3_Bhe;SpMin4_Bhe;SpMin5_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax1_Bhp;SpMax2_Bhp;SpMax3_Bhp;SpMax4_Bhp;SpMax5_Bhp;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin1_Bhp;SpMin2_Bhp;SpMin3_Bhp;SpMin4_Bhp;SpMin5_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax1_Bhi;SpMax2_Bhi;SpMax3_Bhi;SpMax4_Bhi;SpMax5_Bhi;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin1_Bhi;SpMin2_Bhi;SpMin3_Bhi;SpMin4_Bhi;SpMin5_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax1_Bhs;SpMax2_Bhs;SpMax3_Bhs;SpMax4_Bhs;SpMax5_Bhs;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin1_Bhs;SpMin2_Bhs;SpMin3_Bhs;SpMin4_Bhs;SpMin5_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs
142,negative:1,ClC(Cl)(Cl)Cl,37,0,37,SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs;Kier3
148,negative:7,CC(Cl)(Cl)Cl,1,0,1,Kier3
149,negative:8,BrC(Br)Br,37,0,37,SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs;Kier3
150,negative:9,ClC=C(Cl)Cl,24,0,24,SpMax7_Bhm;SpMax8_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax7_Bhv;SpMax8_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax7_Bhe;SpMax8_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax7_Bhp;SpMax8_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax7_Bhi;SpMax8_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax7_Bhs;SpMax8_Bhs;SpMin7_Bhs;SpMin8_Bhs
156,negative:15,Cc1cc(=O)n(-c2cc(Cl)c(S(=O)(=O)O)cc2Cl)[nH]1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
208,negative:67,ClC(Cl)=C(Cl)Cl,24,0,24,SpMax7_Bhm;SpMax8_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax7_Bhv;SpMax8_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax7_Bhe;SpMax8_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax7_Bhp;SpMax8_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax7_Bhi;SpMax8_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax7_Bhs;SpMax8_Bhs;SpMin7_Bhs;SpMin8_Bhs
