descriptor,n_nan,n_pos_inf,n_neg_inf,n_total_missing_or_inf,n_affected_compounds,affected_fraction
BCUTw-1l,31,0,0,31,31,0.04606240713224369
BCUTw-1h,31,0,0,31,31,0.04606240713224369
BCUTc-1l,31,0,0,31,31,0.04606240713224369
BCUTc-1h,31,0,0,31,31,0.04606240713224369
BCUTp-1l,31,0,0,31,31,0.04606240713224369
BCUTp-1h,31,0,0,31,31,0.04606240713224369
SCH-3,31,0,0,31,31,0.04606240713224369
SCH-4,31,0,0,31,31,0.04606240713224369
SCH-5,31,0,0,31,31,0.04606240713224369
SCH-6,31,0,0,31,31,0.04606240713224369
SCH-7,31,0,0,31,31,0.04606240713224369
VCH-3,31,0,0,31,31,0.04606240713224369
VCH-4,31,0,0,31,31,0.04606240713224369
VCH-5,31,0,0,31,31,0.04606240713224369
VCH-6,31,0,0,31,31,0.04606240713224369
VCH-7,31,0,0,31,31,0.04606240713224369
SC-3,31,0,0,31,31,0.04606240713224369
SC-4,31,0,0,31,31,0.04606240713224369
SC-5,31,0,0,31,31,0.04606240713224369
SC-6,31,0,0,31,31,0.04606240713224369
VC-3,31,0,0,31,31,0.04606240713224369
VC-4,31,0,0,31,31,0.04606240713224369
VC-5,31,0,0,31,31,0.04606240713224369
VC-6,31,0,0,31,31,0.04606240713224369
SPC-4,31,0,0,31,31,0.04606240713224369
SPC-5,31,0,0,31,31,0.04606240713224369
SPC-6,31,0,0,31,31,0.04606240713224369
VPC-4,31,0,0,31,31,0.04606240713224369
VPC-5,31,0,0,31,31,0.04606240713224369
VPC-6,31,0,0,31,31,0.04606240713224369
SP-0,31,0,0,31,31,0.04606240713224369
SP-1,31,0,0,31,31,0.04606240713224369
SP-2,31,0,0,31,31,0.04606240713224369
SP-3,31,0,0,31,31,0.04606240713224369
SP-4,31,0,0,31,31,0.04606240713224369
SP-5,31,0,0,31,31,0.04606240713224369
SP-6,31,0,0,31,31,0.04606240713224369
SP-7,31,0,0,31,31,0.04606240713224369
ASP-0,31,0,0,31,31,0.04606240713224369
ASP-1,31,0,0,31,31,0.04606240713224369
ASP-2,31,0,0,31,31,0.04606240713224369
ASP-3,31,0,0,31,31,0.04606240713224369
ASP-4,31,0,0,31,31,0.04606240713224369
ASP-5,31,0,0,31,31,0.04606240713224369
ASP-6,31,0,0,31,31,0.04606240713224369
ASP-7,31,0,0,31,31,0.04606240713224369
VP-0,31,0,0,31,31,0.04606240713224369
VP-1,31,0,0,31,31,0.04606240713224369
VP-2,31,0,0,31,31,0.04606240713224369
VP-3,31,0,0,31,31,0.04606240713224369
VP-4,31,0,0,31,31,0.04606240713224369
VP-5,31,0,0,31,31,0.04606240713224369
VP-6,31,0,0,31,31,0.04606240713224369
VP-7,31,0,0,31,31,0.04606240713224369
AVP-0,31,0,0,31,31,0.04606240713224369
AVP-1,31,0,0,31,31,0.04606240713224369
AVP-2,31,0,0,31,31,0.04606240713224369
AVP-3,31,0,0,31,31,0.04606240713224369
AVP-4,31,0,0,31,31,0.04606240713224369
AVP-5,31,0,0,31,31,0.04606240713224369
AVP-6,31,0,0,31,31,0.04606240713224369
AVP-7,31,0,0,31,31,0.04606240713224369
VABC,31,0,0,31,31,0.04606240713224369
SpMax7_Bhm,11,0,0,11,11,0.01634472511144131
SpMax8_Bhm,11,0,0,11,11,0.01634472511144131
SpMin7_Bhm,11,0,0,11,11,0.01634472511144131
SpMin8_Bhm,11,0,0,11,11,0.01634472511144131
SpMax7_Bhv,11,0,0,11,11,0.01634472511144131
SpMax8_Bhv,11,0,0,11,11,0.01634472511144131
SpMin7_Bhv,11,0,0,11,11,0.01634472511144131
SpMin8_Bhv,11,0,0,11,11,0.01634472511144131
SpMax7_Bhe,11,0,0,11,11,0.01634472511144131
SpMax8_Bhe,11,0,0,11,11,0.01634472511144131
SpMin7_Bhe,11,0,0,11,11,0.01634472511144131
SpMin8_Bhe,11,0,0,11,11,0.01634472511144131
SpMax7_Bhp,11,0,0,11,11,0.01634472511144131
SpMax8_Bhp,11,0,0,11,11,0.01634472511144131
SpMin7_Bhp,11,0,0,11,11,0.01634472511144131
SpMin8_Bhp,11,0,0,11,11,0.01634472511144131
SpMax7_Bhi,11,0,0,11,11,0.01634472511144131
SpMax8_Bhi,11,0,0,11,11,0.01634472511144131
SpMin7_Bhi,11,0,0,11,11,0.01634472511144131
SpMin8_Bhi,11,0,0,11,11,0.01634472511144131
SpMax7_Bhs,11,0,0,11,11,0.01634472511144131
SpMax8_Bhs,11,0,0,11,11,0.01634472511144131
SpMin7_Bhs,11,0,0,11,11,0.01634472511144131
SpMin8_Bhs,11,0,0,11,11,0.01634472511144131
Kier3,10,0,0,10,10,0.014858841010401188
SpMax6_Bhm,8,0,0,8,8,0.01188707280832095
SpMin6_Bhm,8,0,0,8,8,0.01188707280832095
SpMax6_Bhv,8,0,0,8,8,0.01188707280832095
SpMin6_Bhv,8,0,0,8,8,0.01188707280832095
SpMax6_Bhe,8,0,0,8,8,0.01188707280832095
SpMin6_Bhe,8,0,0,8,8,0.01188707280832095
SpMax6_Bhp,8,0,0,8,8,0.01188707280832095
SpMin6_Bhp,8,0,0,8,8,0.01188707280832095
SpMax6_Bhi,8,0,0,8,8,0.01188707280832095
SpMin6_Bhi,8,0,0,8,8,0.01188707280832095
SpMax6_Bhs,8,0,0,8,8,0.01188707280832095
SpMin6_Bhs,8,0,0,8,8,0.01188707280832095
SpMax4_Bhm,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhm,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhm,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhm,2,0,0,2,2,0.0029717682020802376
SpMax4_Bhv,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhv,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhv,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhv,2,0,0,2,2,0.0029717682020802376
SpMax4_Bhe,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhe,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhe,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhe,2,0,0,2,2,0.0029717682020802376
SpMax4_Bhp,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhp,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhp,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhp,2,0,0,2,2,0.0029717682020802376
SpMax4_Bhi,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhi,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhi,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhi,2,0,0,2,2,0.0029717682020802376
SpMax4_Bhs,2,0,0,2,2,0.0029717682020802376
SpMax5_Bhs,2,0,0,2,2,0.0029717682020802376
SpMin4_Bhs,2,0,0,2,2,0.0029717682020802376
SpMin5_Bhs,2,0,0,2,2,0.0029717682020802376
SpMax1_Bhm,1,0,0,1,1,0.0014858841010401188
SpMax2_Bhm,1,0,0,1,1,0.0014858841010401188
SpMax3_Bhm,1,0,0,1,1,0.0014858841010401188
SpMin1_Bhm,1,0,0,1,1,0.0014858841010401188
SpMin2_Bhm,1,0,0,1,1,0.0014858841010401188
SpMin3_Bhm,1,0,0,1,1,0.0014858841010401188
SpMax1_Bhv,1,0,0,1,1,0.0014858841010401188
SpMax2_Bhv,1,0,0,1,1,0.0014858841010401188
SpMax3_Bhv,1,0,0,1,1,0.0014858841010401188
SpMin1_Bhv,1,0,0,1,1,0.0014858841010401188
SpMin2_Bhv,1,0,0,1,1,0.0014858841010401188
SpMin3_Bhv,1,0,0,1,1,0.0014858841010401188
SpMax1_Bhe,1,0,0,1,1,0.0014858841010401188
SpMax2_Bhe,1,0,0,1,1,0.0014858841010401188
SpMax3_Bhe,1,0,0,1,1,0.0014858841010401188
SpMin1_Bhe,1,0,0,1,1,0.0014858841010401188
