descriptor,n_nan,n_pos_inf,n_neg_inf,n_total_missing_or_inf,n_affected_compounds,affected_fraction
BCUTw-1l,2,0,0,2,2,0.02857142857142857
BCUTw-1h,2,0,0,2,2,0.02857142857142857
BCUTc-1l,2,0,0,2,2,0.02857142857142857
BCUTc-1h,2,0,0,2,2,0.02857142857142857
BCUTp-1l,2,0,0,2,2,0.02857142857142857
BCUTp-1h,2,0,0,2,2,0.02857142857142857
SCH-3,2,0,0,2,2,0.02857142857142857
SCH-4,2,0,0,2,2,0.02857142857142857
SCH-5,2,0,0,2,2,0.02857142857142857
SCH-6,2,0,0,2,2,0.02857142857142857
SCH-7,2,0,0,2,2,0.02857142857142857
VCH-3,2,0,0,2,2,0.02857142857142857
VCH-4,2,0,0,2,2,0.02857142857142857
VCH-5,2,0,0,2,2,0.02857142857142857
VCH-6,2,0,0,2,2,0.02857142857142857
VCH-7,2,0,0,2,2,0.02857142857142857
SC-3,2,0,0,2,2,0.02857142857142857
SC-4,2,0,0,2,2,0.02857142857142857
SC-5,2,0,0,2,2,0.02857142857142857
SC-6,2,0,0,2,2,0.02857142857142857
VC-3,2,0,0,2,2,0.02857142857142857
VC-4,2,0,0,2,2,0.02857142857142857
VC-5,2,0,0,2,2,0.02857142857142857
VC-6,2,0,0,2,2,0.02857142857142857
SPC-4,2,0,0,2,2,0.02857142857142857
SPC-5,2,0,0,2,2,0.02857142857142857
SPC-6,2,0,0,2,2,0.02857142857142857
VPC-4,2,0,0,2,2,0.02857142857142857
VPC-5,2,0,0,2,2,0.02857142857142857
VPC-6,2,0,0,2,2,0.02857142857142857
SP-0,2,0,0,2,2,0.02857142857142857
SP-1,2,0,0,2,2,0.02857142857142857
SP-2,2,0,0,2,2,0.02857142857142857
SP-3,2,0,0,2,2,0.02857142857142857
SP-4,2,0,0,2,2,0.02857142857142857
SP-5,2,0,0,2,2,0.02857142857142857
SP-6,2,0,0,2,2,0.02857142857142857
SP-7,2,0,0,2,2,0.02857142857142857
ASP-0,2,0,0,2,2,0.02857142857142857
ASP-1,2,0,0,2,2,0.02857142857142857
ASP-2,2,0,0,2,2,0.02857142857142857
ASP-3,2,0,0,2,2,0.02857142857142857
ASP-4,2,0,0,2,2,0.02857142857142857
ASP-5,2,0,0,2,2,0.02857142857142857
ASP-6,2,0,0,2,2,0.02857142857142857
ASP-7,2,0,0,2,2,0.02857142857142857
VP-0,2,0,0,2,2,0.02857142857142857
VP-1,2,0,0,2,2,0.02857142857142857
VP-2,2,0,0,2,2,0.02857142857142857
VP-3,2,0,0,2,2,0.02857142857142857
VP-4,2,0,0,2,2,0.02857142857142857
VP-5,2,0,0,2,2,0.02857142857142857
VP-6,2,0,0,2,2,0.02857142857142857
VP-7,2,0,0,2,2,0.02857142857142857
AVP-0,2,0,0,2,2,0.02857142857142857
AVP-1,2,0,0,2,2,0.02857142857142857
AVP-2,2,0,0,2,2,0.02857142857142857
AVP-3,2,0,0,2,2,0.02857142857142857
AVP-4,2,0,0,2,2,0.02857142857142857
AVP-5,2,0,0,2,2,0.02857142857142857
AVP-6,2,0,0,2,2,0.02857142857142857
AVP-7,2,0,0,2,2,0.02857142857142857
VABC,2,0,0,2,2,0.02857142857142857
ATS0s,2,0,0,2,2,0.02857142857142857
ATS1s,2,0,0,2,2,0.02857142857142857
ATS2s,2,0,0,2,2,0.02857142857142857
ATS3s,2,0,0,2,2,0.02857142857142857
ATS4s,2,0,0,2,2,0.02857142857142857
ATS5s,2,0,0,2,2,0.02857142857142857
ATS6s,2,0,0,2,2,0.02857142857142857
ATS7s,2,0,0,2,2,0.02857142857142857
ATS8s,2,0,0,2,2,0.02857142857142857
AATS0s,2,0,0,2,2,0.02857142857142857
AATS1s,2,0,0,2,2,0.02857142857142857
AATS2s,2,0,0,2,2,0.02857142857142857
AATS3s,2,0,0,2,2,0.02857142857142857
AATS4s,2,0,0,2,2,0.02857142857142857
AATS5s,2,0,0,2,2,0.02857142857142857
AATS6s,2,0,0,2,2,0.02857142857142857
AATS7s,2,0,0,2,2,0.02857142857142857
AATS8s,2,0,0,2,2,0.02857142857142857
ATSC0s,2,0,0,2,2,0.02857142857142857
ATSC1s,2,0,0,2,2,0.02857142857142857
ATSC2s,2,0,0,2,2,0.02857142857142857
ATSC3s,2,0,0,2,2,0.02857142857142857
ATSC4s,2,0,0,2,2,0.02857142857142857
ATSC5s,2,0,0,2,2,0.02857142857142857
ATSC6s,2,0,0,2,2,0.02857142857142857
ATSC7s,2,0,0,2,2,0.02857142857142857
ATSC8s,2,0,0,2,2,0.02857142857142857
AATSC0s,2,0,0,2,2,0.02857142857142857
AATSC1s,2,0,0,2,2,0.02857142857142857
AATSC2s,2,0,0,2,2,0.02857142857142857
AATSC3s,2,0,0,2,2,0.02857142857142857
AATSC4s,2,0,0,2,2,0.02857142857142857
AATSC5s,2,0,0,2,2,0.02857142857142857
AATSC6s,2,0,0,2,2,0.02857142857142857
AATSC7s,2,0,0,2,2,0.02857142857142857
AATSC8s,2,0,0,2,2,0.02857142857142857
