compound_id,SMILES,knn_mean_similarity,nearest_neighbor_similarity,nearest_training_compound_id,threshold_used,ad_status
positive:0,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.41695314489432145,0.47058823529411764,negative:48,0.19550586727542155,in_domain
positive:1,C=COCC(CC)CCCC,0.43727574750830556,0.5333333333333333,positive:113,0.19550586727542155,in_domain
positive:2,C=CCCCCCCCCCC,0.6157894736842106,1.0,positive:71,0.19550586727542155,in_domain
positive:3,C/C(=C/C(C)(C)C)CC(C)(C)C,0.24932027037290197,0.4090909090909091,negative:51,0.19550586727542155,in_domain
positive:4,c1ccc2c(c1)sc1ccccc12,0.3330865093768905,0.3684210526315789,positive:125,0.19550586727542155,in_domain
positive:5,C1CCCCCCCCCCC1,0.2444444444444444,0.2727272727272727,negative:53,0.19550586727542155,in_domain
positive:6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6279885057471264,1.0,positive:76,0.19550586727542155,in_domain
positive:7,Clc1ccc(Cl)c2ccccc12,0.4560037348272642,0.5238095238095238,positive:74,0.19550586727542155,in_domain
positive:8,ClC1=C(Cl)C2(Cl)C=CC1(Cl)C2(Cl)Cl,0.2881676413255361,0.3157894736842105,positive:94,0.19550586727542155,in_domain
positive:9,Oc1c(C2CCCCC2)cccc1C1CCCCC1,0.26913859560918385,0.32142857142857145,positive:21,0.19550586727542155,in_domain
positive:10,C1=C\CC/C=C\CC/C=C\CC/1,0.14782030834662413,0.25,negative:282,0.19550586727542155,out_of_domain
positive:11,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,0.5279598662207359,0.7,positive:77,0.19550586727542155,in_domain
positive:12,CCCCCCC(CC)CC,0.48397435897435903,0.5,positive:2,0.19550586727542155,in_domain
positive:13,Clc1c(Cl)c(Cl)c2ccccc2c1Cl,0.40616936629724354,0.45,positive:132,0.19550586727542155,in_domain
positive:14,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,0.6171411318150447,0.6875,negative:18,0.19550586727542155,in_domain
