SMILES,value
COCn1c(=O)[nH]c(=O)c(c1CC(COCc1ccccc1)COCc1ccccc1)C,T01
COCn1c(=O)[nH]c(c(c1=O)C)CC(COCc1ccccc1)COCc1ccccc1,T02
COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(n1)OC,T04
COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(c1=O)COC,T05
CCCCCc1ccc(cc1)C#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,T06
CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,T07
CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,T08
CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,T10
OCC(CCn1cc(C#CCc2ccccc2)c(=O)[nH]c1=O)CO,T11
CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,T12
ClCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,T14
CCCCCc1ccc(cc1)C#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,T15
CC(=O)OCC(CCn1cc(C#Cc2ccc(cc2)Br)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,T16
CCCCCCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,T17
OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)[nH]c1=O)CO,T18
OCC(CCn1cc(c2cccs2)c(=O)[nH]c1=O)CO,T20
CCCCC[C@@H](c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1)O,T21
CCCCCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T22
CCCCC[C@@H](C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O)O,T24
CCCCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,T25
Brc1ccc(cc1)c1cc2c(o1)nc(=O)n(c2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,T26
CCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,T28
O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)/C(=C1OCc1ccccc1)OCc1ccccc1,T29
CCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T30
Cc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T32
CCCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,T33
CCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T34
CCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,T36
Brc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T37
CCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T38
CCCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,T39
