original_smiles,standardized_smiles,status,reason,changed,fragment_changed,charge_changed,tautomer_changed
COCn1c(=O)[nH]c(=O)c(c1CC(COCc1ccccc1)COCc1ccccc1)C,COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)[nH]c1=O,ok,,False,False,False,False
COCn1c(=O)[nH]c(c(c1=O)C)CC(COCc1ccccc1)COCc1ccccc1,COCn1c(=O)[nH]c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c1=O,ok,,False,False,False,False
COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(n1)OC,COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(OC)n1,ok,,False,False,False,False
COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(c1=O)COC,COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(COC)c1=O,ok,,False,False,False,False
CCCCCc1ccc(cc1)C#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,CCCCCc1ccc(C#Cc2cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c3ccccc3)c2=O)cc1,ok,,False,False,False,False
CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,ok,,False,False,False,False
CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,ok,,False,False,False,False
CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(F)c2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,ok,,False,False,False,False
OCC(CCn1cc(C#CCc2ccccc2)c(=O)[nH]c1=O)CO,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#CCc1ccccc1,ok,,False,False,False,False
CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,ok,,False,False,False,False
ClCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,CC(=O)OCC(CCn1cc(C#CCCCCl)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,ok,,False,False,False,False
CCCCCc1ccc(cc1)C#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,CCCCCc1ccc(C#Cc2cn(CCC(CO)CO)c(=O)[nH]c2=O)cc1,ok,,False,False,False,False
CC(=O)OCC(CCn1cc(C#Cc2ccc(cc2)Br)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C,CC(=O)OCC(CCn1cc(C#Cc2ccc(Br)cc2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,ok,,False,False,False,False
CCCCCCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1,CCCCCCCCC#Cc1cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c2ccccc2)c1=O,ok,,False,False,False,False
OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)[nH]c1=O)CO,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#Cc1cc(F)cc(F)c1,ok,,False,False,False,False
OCC(CCn1cc(c2cccs2)c(=O)[nH]c1=O)CO,O=c1[nH]c(=O)n(CCC(CO)CO)cc1-c1cccs1,ok,,False,False,False,False
CCCCC[C@@H](c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1)O,CCCCC[C@H](O)c1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,ok,,False,False,False,False
CCCCCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,CCCCCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,ok,,False,False,False,False
CCCCC[C@@H](C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O)O,CCCCC[C@H](O)C#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,ok,,False,False,False,False
CCCCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,CCCCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,ok,,False,False,False,False
Brc1ccc(cc1)c1cc2c(o1)nc(=O)n(c2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,O=C1O/C(=C\Cn2cc3cc(-c4ccc(Br)cc4)oc3nc2=O)C(OCc2ccccc2)=C1OCc1ccccc1,ok,,False,False,False,False
CCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,CCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,ok,,False,False,False,False
O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)/C(=C1OCc1ccccc1)OCc1ccccc1,O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,ok,,False,False,False,False
CCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,CCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,ok,,False,False,False,False
Cc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,Cc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,ok,,False,False,False,False
CCCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,CCCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,ok,,False,False,False,False
CCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,CCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,ok,,False,False,False,False
CCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1,CCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,ok,,False,False,False,False
Brc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,O=C1O/C(=C\Cn2cc(C#Cc3ccc(Br)cc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,ok,,False,False,False,False
CCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,CCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,ok,,False,False,False,False
CCCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O,CCCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,ok,,False,False,False,False
