SMILES,value
COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)[nH]c1=O,T01
COCn1c(=O)[nH]c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c1=O,T02
COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(OC)n1,T04
COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(COC)c1=O,T05
CCCCCc1ccc(C#Cc2cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c3ccccc3)c2=O)cc1,T06
CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,T07
CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,T08
CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(F)c2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,T10
O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#CCc1ccccc1,T11
CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,T12
CC(=O)OCC(CCn1cc(C#CCCCCl)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,T14
CCCCCc1ccc(C#Cc2cn(CCC(CO)CO)c(=O)[nH]c2=O)cc1,T15
CC(=O)OCC(CCn1cc(C#Cc2ccc(Br)cc2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,T16
CCCCCCCCC#Cc1cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c2ccccc2)c1=O,T17
O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#Cc1cc(F)cc(F)c1,T18
O=c1[nH]c(=O)n(CCC(CO)CO)cc1-c1cccs1,T20
CCCCC[C@H](O)c1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,T21
CCCCCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,T22
CCCCC[C@H](O)C#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,T24
CCCCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,T25
O=C1O/C(=C\Cn2cc3cc(-c4ccc(Br)cc4)oc3nc2=O)C(OCc2ccccc2)=C1OCc1ccccc1,T26
CCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,T28
O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,T29
CCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,T30
Cc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,T32
CCCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,T33
CCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,T34
CCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,T36
O=C1O/C(=C\Cn2cc(C#Cc3ccc(Br)cc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,T37
CCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,T38
CCCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,T39
