original_index,SMILES,status
0,COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)[nH]c1=O,kept
1,COCn1c(=O)[nH]c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c1=O,kept
2,COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(OC)n1,kept
3,COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(COC)c1=O,kept
4,CCCCCc1ccc(C#Cc2cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c3ccccc3)c2=O)cc1,kept
5,CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,kept
6,CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,kept
7,CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(F)c2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,kept
8,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#CCc1ccccc1,kept
9,CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O,kept
10,CC(=O)OCC(CCn1cc(C#CCCCCl)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,kept
11,CCCCCc1ccc(C#Cc2cn(CCC(CO)CO)c(=O)[nH]c2=O)cc1,kept
12,CC(=O)OCC(CCn1cc(C#Cc2ccc(Br)cc2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,kept
13,CCCCCCCCC#Cc1cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c2ccccc2)c1=O,kept
14,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#Cc1cc(F)cc(F)c1,kept
15,O=c1[nH]c(=O)n(CCC(CO)CO)cc1-c1cccs1,kept
16,CCCCC[C@H](O)c1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,kept
17,CCCCCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,kept
18,CCCCC[C@H](O)C#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,kept
19,CCCCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,kept
20,O=C1O/C(=C\Cn2cc3cc(-c4ccc(Br)cc4)oc3nc2=O)C(OCc2ccccc2)=C1OCc1ccccc1,kept
21,CCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,kept
22,O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,kept
23,CCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,kept
24,Cc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,kept
25,CCCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,kept
26,CCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,kept
27,CCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,kept
28,O=C1O/C(=C\Cn2cc(C#Cc3ccc(Br)cc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,kept
29,CCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,kept
30,CCCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,kept
