descriptor,n_nan,n_pos_inf,n_neg_inf,n_total_missing_or_inf,n_affected_compounds,affected_fraction
BCUTw-1l,30,0,0,30,30,0.967741935483871
BCUTw-1h,30,0,0,30,30,0.967741935483871
BCUTc-1l,30,0,0,30,30,0.967741935483871
BCUTc-1h,30,0,0,30,30,0.967741935483871
BCUTp-1l,30,0,0,30,30,0.967741935483871
BCUTp-1h,30,0,0,30,30,0.967741935483871
SCH-3,30,0,0,30,30,0.967741935483871
SCH-4,30,0,0,30,30,0.967741935483871
SCH-5,30,0,0,30,30,0.967741935483871
SCH-6,30,0,0,30,30,0.967741935483871
SCH-7,30,0,0,30,30,0.967741935483871
VCH-3,30,0,0,30,30,0.967741935483871
VCH-4,30,0,0,30,30,0.967741935483871
VCH-5,30,0,0,30,30,0.967741935483871
VCH-6,30,0,0,30,30,0.967741935483871
VCH-7,30,0,0,30,30,0.967741935483871
SC-3,30,0,0,30,30,0.967741935483871
SC-4,30,0,0,30,30,0.967741935483871
SC-5,30,0,0,30,30,0.967741935483871
SC-6,30,0,0,30,30,0.967741935483871
VC-3,30,0,0,30,30,0.967741935483871
VC-4,30,0,0,30,30,0.967741935483871
VC-5,30,0,0,30,30,0.967741935483871
VC-6,30,0,0,30,30,0.967741935483871
SPC-4,30,0,0,30,30,0.967741935483871
SPC-5,30,0,0,30,30,0.967741935483871
SPC-6,30,0,0,30,30,0.967741935483871
VPC-4,30,0,0,30,30,0.967741935483871
VPC-5,30,0,0,30,30,0.967741935483871
VPC-6,30,0,0,30,30,0.967741935483871
SP-0,30,0,0,30,30,0.967741935483871
SP-1,30,0,0,30,30,0.967741935483871
SP-2,30,0,0,30,30,0.967741935483871
SP-3,30,0,0,30,30,0.967741935483871
SP-4,30,0,0,30,30,0.967741935483871
SP-5,30,0,0,30,30,0.967741935483871
SP-6,30,0,0,30,30,0.967741935483871
SP-7,30,0,0,30,30,0.967741935483871
ASP-0,30,0,0,30,30,0.967741935483871
ASP-1,30,0,0,30,30,0.967741935483871
ASP-2,30,0,0,30,30,0.967741935483871
ASP-3,30,0,0,30,30,0.967741935483871
ASP-4,30,0,0,30,30,0.967741935483871
ASP-5,30,0,0,30,30,0.967741935483871
ASP-6,30,0,0,30,30,0.967741935483871
ASP-7,30,0,0,30,30,0.967741935483871
VP-0,30,0,0,30,30,0.967741935483871
VP-1,30,0,0,30,30,0.967741935483871
VP-2,30,0,0,30,30,0.967741935483871
VP-3,30,0,0,30,30,0.967741935483871
VP-4,30,0,0,30,30,0.967741935483871
VP-5,30,0,0,30,30,0.967741935483871
VP-6,30,0,0,30,30,0.967741935483871
VP-7,30,0,0,30,30,0.967741935483871
AVP-0,30,0,0,30,30,0.967741935483871
AVP-1,30,0,0,30,30,0.967741935483871
AVP-2,30,0,0,30,30,0.967741935483871
AVP-3,30,0,0,30,30,0.967741935483871
AVP-4,30,0,0,30,30,0.967741935483871
AVP-5,30,0,0,30,30,0.967741935483871
AVP-6,30,0,0,30,30,0.967741935483871
AVP-7,30,0,0,30,30,0.967741935483871
VABC,30,0,0,30,30,0.967741935483871
